step	kind	label	n	excluded_from_step
1	retained	Women with a first recorded study pregnancy	21685	
2	excluded	Known multiple pregnancies	209	1
3	retained	Women after excluding known multiples	21476	
3	note	Of whom pregnancy multiplicity was not recorded	197	3
4	excluded	No harmonized PGS data	7623	3
4	reason	Phenotype-only GARBH-INi cohort (Gurugram, India)	6004	4
4	reason	Genotyped cohorts without a harmonized score	1619	4
5	retained	Women with harmonized PGS data	13853	
6	excluded	No valid antenatal blood pressure	310	5
6	reason	Blood pressure recorded only after the pregnancy ended	176	6
6	reason	No blood pressure at a classifiable antenatal visit	134	6
7	retained	Women with valid antenatal blood pressure	13543	
8	excluded	Genetic quality control and identity resolution	439	7
8	reason	Only genotype record failed quality control	4	8
8	reason	Discordant genotypes across the two genotyping platforms	21	8
8	reason	Identical genotypes that could not be resolved to distinct women	343	8
8	reason	Records duplicating a genetic individual retained elsewhere	71	8
9	retained	Cleaned genetic-analysis base sample	13104	
