panel	trait	cohort	cohort_label	family	score_id	N	incR2	incR2_pct	label_displayed
A	SBP	AMANHI-Bangladesh	Sylhet	European	PGS004603	2588	0.0252003289552688	2.52003289552688	2.5
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	PGS004830	2588	0.0320585608095431	3.2058560809543097	3.2
A	SBP	AMANHI-Bangladesh	Sylhet	East Asian	PGS002376	2588	0.00020252237993584	0.020252237993584	0.0
A	SBP	AMANHI-Bangladesh	Sylhet	Diverse ancestry	PGS003968	2588	0.0208841415955487	2.08841415955487	2.1
A	SBP	AMANHI-Pakistan	Karachi	European	PGS004603	1998	0.0399532470026173	3.99532470026173	4.0
A	SBP	AMANHI-Pakistan	Karachi	South Asian	PGS004830	1998	0.0405211709454682	4.05211709454682	4.1
A	SBP	AMANHI-Pakistan	Karachi	East Asian	PGS002376	1998	1.57541237776684e-05	0.0015754123777668402	0.0
A	SBP	AMANHI-Pakistan	Karachi	Diverse ancestry	PGS003968	1998	0.0272725839853931	2.72725839853931	2.7
A	SBP	GAPPS-Bangladesh	Matlab	European	PGS004603	3502	0.0469253644083362	4.69253644083362	4.7
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	PGS004830	3502	0.0648950842233715	6.489508422337149	6.5
A	SBP	GAPPS-Bangladesh	Matlab	East Asian	PGS002376	3502	0.00164249326448023	0.16424932644802298	0.2
A	SBP	GAPPS-Bangladesh	Matlab	Diverse ancestry	PGS003968	3502	0.0468566921214218	4.68566921214218	4.7
A	SBP	AMANHI-Pemba	Pemba	European	PGS004603	3.62e+03	0.0144470014155929	1.44470014155929	1.4
A	SBP	AMANHI-Pemba	Pemba	South Asian	PGS004830	3.62e+03	0.0145120063597454	1.45120063597454	1.5
A	SBP	AMANHI-Pemba	Pemba	East Asian	PGS002376	3.62e+03	6.03902751815585e-05	0.00603902751815585	0.0
A	SBP	AMANHI-Pemba	Pemba	Diverse ancestry	PGS003968	3.62e+03	0.0115449850123065	1.1544985012306501	1.2
A	SBP	GAPPS-Zambia	Lusaka	European	PGS004603	1.38e+03	0.0164360029534289	1.64360029534289	1.6
A	SBP	GAPPS-Zambia	Lusaka	South Asian	PGS004830	1.38e+03	0.0121759664881033	1.21759664881033	1.2
A	SBP	GAPPS-Zambia	Lusaka	East Asian	PGS002376	1.38e+03	0.000406332022434706	0.0406332022434706	0.0
A	SBP	GAPPS-Zambia	Lusaka	Diverse ancestry	PGS003968	1.38e+03	0.00706367319205524	0.706367319205524	0.7
B	DBP	AMANHI-Bangladesh	Sylhet	European	PGS004604	2588	0.0217319664975521	2.17319664975521	2.2
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	PGS004758	2588	0.0263475511219147	2.63475511219147	2.6
B	DBP	AMANHI-Bangladesh	Sylhet	East Asian	PGS002362	2588	0.00131968954324121	0.131968954324121	0.1
B	DBP	AMANHI-Bangladesh	Sylhet	Diverse ancestry	PGS003964	2588	0.0196443410647541	1.96443410647541	2.0
B	DBP	AMANHI-Pakistan	Karachi	European	PGS004604	1998	0.0360889142538402	3.60889142538402	3.6
B	DBP	AMANHI-Pakistan	Karachi	South Asian	PGS004758	1998	0.037293427205854	3.7293427205853997	3.7
B	DBP	AMANHI-Pakistan	Karachi	East Asian	PGS002362	1998	0.000842814089159785	0.0842814089159785	0.1
B	DBP	AMANHI-Pakistan	Karachi	Diverse ancestry	PGS003964	1998	0.0236654475615164	2.3665447561516397	2.4
B	DBP	GAPPS-Bangladesh	Matlab	European	PGS004604	3502	0.0498721369145163	4.98721369145163	5.0
B	DBP	GAPPS-Bangladesh	Matlab	South Asian	PGS004758	3502	0.0548074929972854	5.48074929972854	5.5
B	DBP	GAPPS-Bangladesh	Matlab	East Asian	PGS002362	3502	0.000736743728603974	0.07367437286039741	0.1
B	DBP	GAPPS-Bangladesh	Matlab	Diverse ancestry	PGS003964	3502	0.0468797596613112	4.68797596613112	4.7
B	DBP	AMANHI-Pemba	Pemba	European	PGS004604	3.62e+03	0.00870655254010388	0.8706552540103879	0.9
B	DBP	AMANHI-Pemba	Pemba	South Asian	PGS004758	3.62e+03	0.00540091940063877	0.5400919400638771	0.5
B	DBP	AMANHI-Pemba	Pemba	East Asian	PGS002362	3.62e+03	0.000189454403053489	0.0189454403053489	0.0
B	DBP	AMANHI-Pemba	Pemba	Diverse ancestry	PGS003964	3.62e+03	0.00593398398310581	0.5933983983105809	0.6
B	DBP	GAPPS-Zambia	Lusaka	European	PGS004604	1.38e+03	0.0245700344042554	2.4570034404255403	2.5
B	DBP	GAPPS-Zambia	Lusaka	South Asian	PGS004758	1.38e+03	0.0217843198038774	2.1784319803877397	2.2
B	DBP	GAPPS-Zambia	Lusaka	East Asian	PGS002362	1.38e+03	8.30789366676465e-07	8.30789366676465e-05	0.0
B	DBP	GAPPS-Zambia	Lusaka	Diverse ancestry	PGS003964	1.38e+03	0.0146822294461312	1.4682229446131199	1.5
