panel	trait	cohort	cohort_label	ancestry_group	row	column	family	score_id	N	incR2	incR2_pct	label_displayed
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	1	1	European	PGS004603	2588	0.0246891693099991	2.4689169309999102	2.5
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	1	2	South Asian	PGS004830	2588	0.028575406060217901	2.8575406060217903	2.9
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	1	3	East Asian	PGS002376	2588	0.00020370175108046701	0.020370175108046701	0.0
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	1	4	Diverse ancestry	PGS003968	2588	0.019936079498825299	1.9936079498825299	2.0
A	SBP	AMANHI-Bangladesh	Sylhet	South Asian	1	5	MVP	PGS002238	2588	0.00182507990901949	0.182507990901949	0.2
A	SBP	AMANHI-Pakistan	Karachi	South Asian	2	1	European	PGS004603	1998	0.034851186703300598	3.4851186703300598	3.5
A	SBP	AMANHI-Pakistan	Karachi	South Asian	2	2	South Asian	PGS004830	1998	0.033429784706091301	3.3429784706091299	3.3
A	SBP	AMANHI-Pakistan	Karachi	South Asian	2	3	East Asian	PGS002376	1998	0.00012110412057485	0.012110412057485	0.0
A	SBP	AMANHI-Pakistan	Karachi	South Asian	2	4	Diverse ancestry	PGS003968	1998	0.020944758932650999	2.0944758932650998	2.1
A	SBP	AMANHI-Pakistan	Karachi	South Asian	2	5	MVP	PGS002238	1998	0.0041731819657130596	0.41731819657130598	0.4
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	3	1	European	PGS004603	3502	0.046153521780285901	4.6153521780285898	4.6
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	3	2	South Asian	PGS004830	3502	0.064316125368979293	6.4316125368979291	6.4
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	3	3	East Asian	PGS002376	3502	0.0019610306225469401	0.19610306225469401	0.2
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	3	4	Diverse ancestry	PGS003968	3502	0.0456837998759905	4.5683799875990498	4.6
A	SBP	GAPPS-Bangladesh	Matlab	South Asian	3	5	MVP	PGS002238	3502	0.0075934823022725702	0.75934823022725706	0.8
A	SBP	AMANHI-Pemba	Pemba	African	4	1	European	PGS004603	3620	0.015750576970190201	1.5750576970190202	1.6
A	SBP	AMANHI-Pemba	Pemba	African	4	2	South Asian	PGS004830	3620	0.0151129355441681	1.51129355441681	1.5
A	SBP	AMANHI-Pemba	Pemba	African	4	3	East Asian	PGS002376	3620	3.7772739697893402e-05	0.0037772739697893402	0.0
A	SBP	AMANHI-Pemba	Pemba	African	4	4	Diverse ancestry	PGS003968	3620	0.012736540090605101	1.2736540090605102	1.3
A	SBP	AMANHI-Pemba	Pemba	African	4	5	MVP	PGS002238	3620	0.00167145518587814	0.16714551858781401	0.2
A	SBP	GAPPS-Zambia	Lusaka	African	5	1	European	PGS004603	1380	0.0158440410706309	1.5844041070630901	1.6
A	SBP	GAPPS-Zambia	Lusaka	African	5	2	South Asian	PGS004830	1380	0.011931507215583901	1.1931507215583901	1.2
A	SBP	GAPPS-Zambia	Lusaka	African	5	3	East Asian	PGS002376	1380	0.00046467520605651599	0.046467520605651597	0.0
A	SBP	GAPPS-Zambia	Lusaka	African	5	4	Diverse ancestry	PGS003968	1380	0.00685084527206251	0.68508452720625101	0.7
A	SBP	GAPPS-Zambia	Lusaka	African	5	5	MVP	PGS002238	1380	0.00133653294305076	0.133653294305076	0.1
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	1	1	European	PGS004604	2588	0.0211824501821734	2.11824501821734	2.1
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	1	2	South Asian	PGS004758	2588	0.0248103892362041	2.4810389236204102	2.5
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	1	3	East Asian	PGS002362	2588	0.0013718580041799399	0.137185800417994	0.1
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	1	4	Diverse ancestry	PGS003964	2588	0.018933923640246601	1.8933923640246602	1.9
B	DBP	AMANHI-Bangladesh	Sylhet	South Asian	1	5	MVP	PGS002239	2588	0.0022163217069015601	0.22163217069015601	0.2
B	DBP	AMANHI-Pakistan	Karachi	South Asian	2	1	European	PGS004604	1998	0.0302858717808831	3.0285871780883102	3.0
B	DBP	AMANHI-Pakistan	Karachi	South Asian	2	2	South Asian	PGS004758	1998	0.0326952938415132	3.26952938415132	3.3
B	DBP	AMANHI-Pakistan	Karachi	South Asian	2	3	East Asian	PGS002362	1998	0.00098810959538788096	0.098810959538788101	0.1
