outcome	bp_trait	slot	kind	row_key	row_label	k_cohorts	estimate	ci_lo	ci_hi	axis_lo	axis_hi	axis_scale	reference	truncated_lo	truncated_hi	drawn_lo	drawn_hi	value_text	heterogeneity_text	I2	Q_p
BWT	DBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	4.03570281097752	-165.8692301435997	173.94063576555473	-6e+02	3e+02	linear	0	FALSE	FALSE	-165.8692301435997	173.94063576555473	4 (−166 to 174)	""		
BWT	DBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	13.892084245214438	-129.310472498782	157.0946409892109	-6e+02	3e+02	linear	0	FALSE	FALSE	-129.310472498782	157.0946409892109	14 (−129 to 157)	""		
BWT	DBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	-114.89509386923794	-232.7859771306094	2.9957893921335454	-6e+02	3e+02	linear	0	FALSE	FALSE	-232.7859771306094	2.9957893921335454	−115 (−233 to 3)	""		
BWT	DBP	4	pool_sub	South Asian	South Asian pooled	3	-47.951985596316	-128.1803201788756	32.27634898624361	-6e+02	3e+02	linear	0	FALSE	FALSE	-128.1803201788756	32.27634898624361	−48 (−128 to 32)	""	13.60109623009373	0.31429536177563144
BWT	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	-453.8411133005869	-799.5236141804147	-108.15861242075914	-6e+02	3e+02	linear	0	TRUE	FALSE	-6e+02	-108.15861242075914	−454 (−800 to −108)	""		
BWT	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	192.38668352403212	-62.464179364664886	447.2375464127291	-6e+02	3e+02	linear	0	FALSE	TRUE	-62.464179364664886	3e+02	192 (−62 to 447)	""		
BWT	DBP	7	pool_sub	African	African pooled	2	-35.17028104153781	-240.2967308042076	169.956168721132	-6e+02	3e+02	linear	0	FALSE	FALSE	-240.2967308042076	169.956168721132	−35 (−240 to 170)	""	88.50300593245441	0.003185723728157121
BWT	DBP	8	pool_all	Overall	Overall pooled	5	-46.25615602633022	-120.97297572922028	28.460663676559847	-6e+02	3e+02	linear	0	FALSE	FALSE	-120.97297572922028	28.460663676559847	−46 (−121 to 28)	I² = 64%; Q p = 0.026	63.721144734389085	0.026276625947313087
BWT	SBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	35.42031566669439	-90.62521959717262	161.4658509305614	-6e+02	3e+02	linear	0	FALSE	FALSE	-90.62521959717262	161.4658509305614	35 (−91 to 161)	""		
BWT	SBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	24.97479111474444	-83.8022878780422	133.7518701075311	-6e+02	3e+02	linear	0	FALSE	FALSE	-83.8022878780422	133.7518701075311	25 (−84 to 134)	""		
BWT	SBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	-82.0315995227738	-163.29447480546656	-0.7687242400810277	-6e+02	3e+02	linear	0	FALSE	FALSE	-163.29447480546656	-0.7687242400810277	−82 (−163 to −1)	""		
BWT	SBP	4	pool_sub	South Asian	South Asian pooled	3	-27.040293188488896	-84.88162760656854	30.80104122959075	-6e+02	3e+02	linear	0	FALSE	FALSE	-84.88162760656854	30.80104122959075	−27 (−85 to 31)	""	44.1489447807039	0.1668806376860594
BWT	SBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	-107.99582003393299	-251.84884561054525	35.857205542679296	-6e+02	3e+02	linear	0	FALSE	FALSE	-251.84884561054525	35.857205542679296	−108 (−252 to 36)	""		
BWT	SBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	117.37143741520941	-131.04029478725712	365.783169617676	-6e+02	3e+02	linear	0	FALSE	TRUE	-131.04029478725712	3e+02	117 (−131 to 366)	""		
BWT	SBP	7	pool_sub	African	African pooled	2	-51.39918149703111	-175.88332396058016	73.08496096651794	-6e+02	3e+02	linear	0	FALSE	FALSE	-175.88332396058016	73.08496096651794	−51 (−176 to 73)	""	57.76773238512983	0.12385691820335716
BWT	SBP	8	pool_all	Overall	Overall pooled	5	-31.36551990564329	-83.82086377489505	21.089823963608467	-6e+02	3e+02	linear	0	FALSE	FALSE	-83.82086377489505	21.089823963608467	−31 (−84 to 21)	I² = 34%; Q p = 0.194	34.09978496526938	0.19399710158568043
LBW	DBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	0.954444756247559	0.42057000173195247	2.166024179035621	0.5	5e+01	logarithmic	1	TRUE	FALSE	0.5	2.166024179035621	0.95 (0.42 to 2.17)	""		
LBW	DBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	1.0373375135563065	0.46095415827027597	2.3344384636188447	0.5	5e+01	logarithmic	1	TRUE	FALSE	0.5	2.3344384636188447	1.04 (0.46 to 2.33)	""		
LBW	DBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	1.269331313571059	0.6422597781542377	2.508645315206244	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.6422597781542377	2.508645315206244	1.27 (0.64 to 2.51)	""		
LBW	DBP	4	pool_sub	South Asian	South Asian pooled	3	1.10171000385865	0.7094964960047492	1.710741264315	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.7094964960047492	1.710741264315	1.10 (0.71 to 1.71)	""	0	0.858574088586021
LBW	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	19.749249688491908	0.8022176734375447	486.19330659605964	0.5	5e+01	logarithmic	1	FALSE	TRUE	0.8022176734375447	5e+01	19.75 (0.80 to 486.19)	""		
LBW	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	1.4432315821760355	0.27400333722302656	7.601795733221088	0.5	5e+01	logarithmic	1	TRUE	FALSE	0.5	7.601795733221088	1.44 (0.27 to 7.60)	""		
LBW	DBP	7	pool_sub	African	African pooled	2	2.512979929605851	0.5749762404493753	10.983181012255839	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.5749762404493753	10.983181012255839	2.51 (0.57 to 10.98)	""	50.47270273130908	0.15533235238853638
LBW	DBP	8	pool_all	Overall	Overall pooled	5	1.1785351706147011	0.7730429446555707	1.796724435528827	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.7730429446555707	1.796724435528827	1.18 (0.77 to 1.80)	I² = 0%; Q p = 0.489	0	0.48911395181510625
LBW	SBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	0.7817790963053306	0.4246503783764299	1.4392511735341074	0.5	5e+01	logarithmic	1	TRUE	FALSE	0.5	1.4392511735341074	0.78 (0.42 to 1.44)	""		
LBW	SBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	0.9684932792062263	0.5232600469437245	1.792568030649791	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.5232600469437245	1.792568030649791	0.97 (0.52 to 1.79)	""		
LBW	SBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	1.4253081410225203	0.8894286457654725	2.2840542707242046	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.8894286457654725	2.2840542707242046	1.43 (0.89 to 2.28)	""		
LBW	SBP	4	pool_sub	South Asian	South Asian pooled	3	1.0902226640885155	0.7923707875713965	1.5000369472671442	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.7923707875713965	1.5000369472671442	1.09 (0.79 to 1.50)	""	20.74866924108691	0.283141511743381
LBW	SBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	2.8236116371801327	0.6749085537105984	11.813130288222439	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.6749085537105984	11.813130288222439	2.82 (0.67 to 11.81)	""		
LBW	SBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	0.9960934209358775	0.19515701773751545	5.0841220814628505	0.5	5e+01	logarithmic	1	TRUE	FALSE	0.5	5.0841220814628505	1.00 (0.20 to 5.08)	""		
LBW	SBP	7	pool_sub	African	African pooled	2	1.7939957150827903	0.6120074481609888	5.258793231040556	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.6120074481609888	5.258793231040556	1.79 (0.61 to 5.26)	""	0	0.34647167571123405
LBW	SBP	8	pool_all	Overall	Overall pooled	5	1.1350584179220433	0.8359047436323179	1.5412732394570434	0.5	5e+01	logarithmic	1	FALSE	FALSE	0.8359047436323179	1.5412732394570434	1.14 (0.84 to 1.54)	I² = 4%; Q p = 0.384	4.01219837983676	0.38385094609288783
PTB	DBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	0.8849754807428657	0.2729875786942781	2.8689276093150022	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.2729875786942781	2.8689276093150022	0.88 (0.27 to 2.87)	""		
PTB	DBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	0.39407603412348985	0.14793915399630156	1.0497283273255724	0.2	1e+01	logarithmic	1	TRUE	FALSE	0.2	1.0497283273255724	0.39 (0.15 to 1.05)	""		
PTB	DBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	2.1068661722799833	0.9926702864985476	4.471661062360411	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.9926702864985476	4.471661062360411	2.11 (0.99 to 4.47)	""		
PTB	DBP	4	pool_sub	South Asian	South Asian pooled	3	1.0756201008264694	0.6317202229979186	1.8314414501587932	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.6317202229979186	1.8314414501587932	1.08 (0.63 to 1.83)	""	72.2480314524036	0.02723239594627037
PTB	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	5.606095541232629	0.2466588172497111	127.41611091733714	0.2	1e+01	logarithmic	1	FALSE	TRUE	0.2466588172497111	1e+01	5.61 (0.25 to 127.42)	""		
PTB	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	1.0276071094009471	0.1607685824281023	6.568300568076575	0.2	1e+01	logarithmic	1	TRUE	FALSE	0.2	6.568300568076575	1.03 (0.16 to 6.57)	""		
PTB	DBP	7	pool_sub	African	African pooled	2	1.599341353468854	0.32454122411160935	7.881565036668282	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.32454122411160935	7.881565036668282	1.60 (0.32 to 7.88)	""	0	0.36000826238236744
