outcome	section	bp_trait	slot	kind	row_key	row_label	k_cohorts	estimate	ci_lo	ci_hi	axis_lo	axis_hi	axis_scale	reference	truncated_lo	truncated_hi	drawn_lo	drawn_hi	value_text
BWT	Birth weight	DBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	8.003535327887484	-163.04088927456817	179.04795993034313	-550	500	linear	0	FALSE	FALSE	-163.04088927456817	179.04795993034313	8 (−163 to 179)
BWT	Birth weight	DBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	11.428848975267798	-133.38820214211592	156.24590009265148	-550	500	linear	0	FALSE	FALSE	-133.38820214211592	156.24590009265148	11 (−133 to 156)
BWT	Birth weight	DBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	-114.97004396237855	-233.0990361460507	3.158948221293585	-550	500	linear	0	FALSE	FALSE	-233.0990361460507	3.158948221293585	−115 (−233 to 3)
BWT	Birth weight	DBP	4	pool_sub	South Asian	South Asian pooled	3	-44.50624705047195	-136.52675463491144	47.51426053396754	-550	500	linear	0	FALSE	FALSE	-136.52675463491144	47.51426053396754	−45 (−137 to 48)
BWT	Birth weight	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	-457.7207494381354	-805.0438993501145	-110.39759952615617	-550	500	linear	0	TRUE	FALSE	-5.5e+02	-110.39759952615617	−458 (−805 to −110)
BWT	Birth weight	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	192.09761190986472	-61.67910842497744	445.8743322447069	-550	500	linear	0	FALSE	FALSE	-61.67910842497744	445.8743322447069	192 (−62 to 446)
BWT	Birth weight	DBP	7	pool_sub	African	African pooled	2	-121.54894092830283	-757.9765265663387	514.8786447097331	-550	500	linear	0	TRUE	TRUE	-5.5e+02	5e+02	−122 (−758 to 515)
BWT	Birth weight	DBP	8	pool_all	Overall	Overall pooled	5	-46.317949050212945	-191.30163610253157	98.66573800210568	-550	500	linear	0	FALSE	FALSE	-191.30163610253157	98.66573800210568	−46 (−191 to 99)
BWT	Birth weight	SBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	38.90662479214056	-88.57912941859908	166.3923790028802	-550	500	linear	0	FALSE	FALSE	-88.57912941859908	166.3923790028802	39 (−89 to 166)
BWT	Birth weight	SBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	23.52357687982231	-86.21654403584054	133.26369779548517	-550	500	linear	0	FALSE	FALSE	-86.21654403584054	133.26369779548517	24 (−86 to 133)
BWT	Birth weight	SBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	-81.43576018305488	-162.9627307263986	0.09121036028884077	-550	500	linear	0	FALSE	FALSE	-162.9627307263986	0.09121036028884077	−81 (−163 to 0)
BWT	Birth weight	SBP	4	pool_sub	South Asian	South Asian pooled	3	-16.889770565524685	-98.13768855278833	64.35814742173896	-550	500	linear	0	FALSE	FALSE	-98.13768855278833	64.35814742173896	−17 (−98 to 64)
BWT	Birth weight	SBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	-110.93405905096722	-255.13706011719867	33.26894201526423	-550	500	linear	0	FALSE	FALSE	-255.13706011719867	33.26894201526423	−111 (−255 to 33)
BWT	Birth weight	SBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	100.71447445520744	-141.04259706236556	342.4715459727804	-550	500	linear	0	FALSE	FALSE	-141.04259706236556	342.4715459727804	101 (−141 to 342)
BWT	Birth weight	SBP	7	pool_sub	African	African pooled	2	-28.26402386967756	-230.65018387625088	174.1221361368958	-550	500	linear	0	FALSE	FALSE	-230.65018387625088	174.1221361368958	−28 (−231 to 174)
BWT	Birth weight	SBP	8	pool_all	Overall	Overall pooled	5	-24.859179864840875	-92.81919751387628	43.10083778419453	-550	500	linear	0	FALSE	FALSE	-92.81919751387628	43.10083778419453	−25 (−93 to 43)
