bp_trait	outcome	outcome_label	outcome_type	cohort	cohort_display	site	ancestry_group	pgs_id	N	n_events	fs_beta_mmHg_per_SD	fs_se	fs_p	fs_F	rf_beta_per_SD	rf_se	rf_p	yi	sei	or_per_10mmHg	or_lo95	or_hi95	grams_per_10mmHg	grams_lo95	grams_hi95	wald_p	analysis_scale	status	model_convergence
DBP	BWT	Birth weight, g	continuous	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004758	2123		1.1652385060384125	0.14423125994619226	1.0867068718563183e-15	65.269586412098	0.4702556314278468	10.10084097322168	0.962871431001852	4.03570281097752	86.68619028294756				4.03570281097752	-165.8692301435997	173.94063576555473	0.9628676476202185	grams	ok	converged
DBP	BWT	Birth weight, g	continuous	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004758	1677		1.5039848231430843	0.16726915702845802	6.455657262872073e-19	80.84537336610074	2.0893483866627665	10.98603623174267	0.849189511628795	13.892084245214438	73.06252895101859				13.892084245214438	-129.310472498782	157.0946409892109	0.8491996945435996	grams	ok	converged
DBP	BWT	Birth weight, g	continuous	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004758	2555		1.4940301902386877	0.11758901296483087	6.626997642201767e-36	161.43037552863962	-17.165673895094944	8.884213486004844	0.053451290929334705	-114.89509386923794	60.14840982723035				-114.89509386923794	-232.7859771306094	2.9957893921335454	0.056108320068418975	grams	ok	converged
DBP	BWT	Birth weight, g	continuous	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004604	3269		0.5583352692186152	0.10514294178835723	1.1681532576712082e-07	28.198751283408033	-25.339550017715926	8.613867393205872	0.003286994424738384	-453.8411133005869	176.36862289787132				-453.8411133005869	-799.5236141804147	-108.15861242075914	0.010074748872858343	grams	ok	converged
DBP	BWT	Birth weight, g	continuous	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004604	1342		1.0814299151393796	0.18403599464851553	5.297815955039245e-09	34.52957339419018	20.805271483734074	13.608340653103562	0.12653614833056895	192.38668352403212	130.02595045341684				192.38668352403212	-62.464179364664886	447.2375464127291	0.1389794366334564	grams	ok	converged
DBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004758	2123	631	1.1652385060384125	0.14423125994619226	1.0867068718563183e-15	65.269586412098	-0.0054329845039464645	0.04871652669924595	0.9112020951881541	-0.046625514654657016	0.4181218500820502	0.954444756247559	0.42057000173195247	2.166024179035621				0.9112105192807965	log odds ratio	ok	converged
DBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004758	1677	376	1.5039848231430843	0.16726915702845802	6.455657262872073e-19	80.84537336610074	0.0055132094173124474	0.06223693817310679	0.9294123647923613	0.03665734741784651	0.41383368781050284	1.0373375135563065	0.46095415827027597	2.3344384636188447				0.9294157813455433	log odds ratio	ok	converged
DBP	LBW	Low birth weight (<2,500 g)	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004758	2555	476	1.4940301902386877	0.11758901296483087	6.626997642201767e-36	161.43037552863962	0.03563116142455275	0.05185340619022057	0.4919870742812912	0.2384902370604725	0.34757788537109646	1.269331313571059	0.6422597781542377	2.508645315206244				0.4926191206280459	log odds ratio	ok	converged
DBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004604	3269	148	0.5583352692186152	0.10514294178835723	1.1681532576712082e-07	28.198751283408033	0.16655785958972888	0.08569662832491275	0.051946673439423004	2.983115500169369	1.6344340790036413	19.749249688491908	0.8022176734375447	486.19330659605964				0.06797579920884614	log odds ratio	ok	converged
DBP	LBW	Low birth weight (<2,500 g)	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004604	1342	135	1.0814299151393796	0.18403599464851553	5.297815955039245e-09	34.52957339419018	0.03967601478689751	0.09142425099368719	0.6643052017470463	0.36688475352361494	0.8477039523192708	1.4432315821760355	0.27400333722302656	7.601795733221088				0.6651613735705897	log odds ratio	ok	converged
DBP	PTB	Preterm birth	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004758	2474	307	1.0926449620394707	0.1335680168696694	4.478216951927817e-16	66.91957582474846	-0.013351612234429343	0.06554583044669823	0.8385888176713752	-0.12219533973330149	0.6000681859119176	0.8849754807428657	0.2729875786942781	2.8689276093150022				0.8386381479483663	log odds ratio	ok	converged
DBP	PTB	Preterm birth	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004758	1920	282	1.4206807907338705	0.15675175434100994	3.0499324246155957e-19	82.14255297008107	-0.1322954159874942	0.06949904352192542	0.05696785625470851	-0.9312114082935924	0.49986877709424216	0.39407603412348985	0.14793915399630156	1.0497283273255724				0.0624746862164615	log odds ratio	ok	converged
DBP	PTB	Preterm birth	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004758	3446	359	1.5015981781778986	0.10405507560878619	7.08327093775428e-46	208.24804219504165	0.11189933905199952	0.0571312908170139	0.050155561457565785	0.7452016170383398	0.38395832901931715	2.1068661722799833	0.9926702864985476	4.471661062360411				0.05227770848015758	log odds ratio	ok	converged
DBP	PTB	Preterm birth	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004604	3408	158	0.5637308388491805	0.10282780726962026	4.505108152356124e-08	30.05539480997247	0.09717899406734809	0.08807431402061416	0.2698643593978625	1.7238544952717616	1.593675356729976	5.606095541232629	0.2466588172497111	127.41611091733714				0.27939258554293067	log odds ratio	ok	converged
DBP	PTB	Preterm birth	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004604	1349	105	1.085014799801399	0.18354236405916546	4.295478322447708e-09	34.946097299349134	0.0029548104620834557	0.10268891476315939	0.9770445295015695	0.027232904681339865	0.9464399127133417	1.0276071094009471	0.1607685824281023	6.568300568076575				0.97704480135954	log odds ratio	ok	converged
