bp_trait	outcome	outcome_label	outcome_type	analysis_scale	population_group	model	k_cohorts	N_total	events_total	pooled_estimate	pooled_se	ci_lo	ci_hi	or_per_10mmHg	or_lo95	or_hi95	grams_per_10mmHg	grams_lo95	grams_hi95	z	p	I2	Q	Q_df	Q_p	cohorts
SBP	PTB	Preterm birth	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	7840	948	0.07572965491935073	0.1919078857175364	-0.30040288943624915	0.45186219927495064	1.0786709213583818	0.7405198129631195	1.5712354162792512				0.39461460708714696	0.6931273317472391	79.93215490892919	9.966192139333886	2	0.006852812893118288	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
SBP	PTB	Preterm birth	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4757	263	0.8596009488731053	0.5868478645393941	-0.29059973002834716	2.009801627774558	2.3622178598998964	0.7478149459873366	7.461836979284633				1.464776479246099	0.14298191106166386	0	0.004354863000562747	1	0.9473846836373104	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	PTB	Preterm birth	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	12597	1211	0.1514575358346473	0.18240261086727488	-0.2060450121512857	0.5089600838205803	1.163528892477337	0.8137964447298085	1.6635603318210843				0.830347411775017	0.40634238919319815	65.46472692509336	11.58236100037212	4	0.020742807579158758	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	6355	1483	0.0863819543592321	0.16281308609448575	-0.23272583059777904	0.4054897393162432	1.0902226640885155	0.7923707875713965	1.5000369472671442				0.5305590381666363	0.5957243872507223	20.74866924108691	2.523616929643882	2	0.283141511743381	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
SBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4611	283	0.5844453751626206	0.5487122263428589	-0.491010826346173	1.6599015766714142	1.7939957150827903	0.6120074481609888	5.258793231040556				1.0651218381954444	0.28682079803718163	0	0.886337751941614	1	0.34647167571123405	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	LBW	Low birth weight (<2,500 g)	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	10966	1766	0.1266841191436949	0.15608691637691724	-0.179240615412978	0.43260885370036783	1.1350584179220433	0.8359047436323179	1.5412732394570434				0.8116254845971795	0.4170065634746042	4.01219837983676	4.167196177519038	4	0.38385094609288783	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	South Asian	fixed effect (inverse variance), z test	3	6353	2.35e+03	-0.016756069470132876	0.14016349313897353	-0.2914714679698479	0.2579593290295822	0.9833835326467751	0.7471633313855488	1.2942861776789212				-0.11954660300538503	0.9048423208726206	24.15336576350137	2.6369001342416425	2	0.2675496647878858	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
SBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	African	fixed effect (inverse variance), z test	2	4570	569	-0.3836880611572612	0.40229182446807893	-1.172165548389605	0.4047894260750827	0.681343931671174	0.30969555385897757	1.4989868192829279				-0.9537555521158896	0.3402073931196948	0	0.4283019668829128	1	0.5128233255809942	AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	SGA	Small for gestational age (<10th centile)	binary	log odds ratio	Overall	fixed effect (inverse variance), z test	5	10923	2919	-0.05647667160325217	0.1323598692159836	-0.3158972482650118	0.20294390505850748	0.9450885316382114	0.7291343661398452	1.2250037498064652				-0.42669029470778685	0.6696049204541725	0	3.80707853700875	4	0.4327440483007038	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh; AMANHI-Pemba, Tanzania; ZAPPS-Lusaka, Zambia
SBP	BWT	Birth weight, g	continuous	grams	South Asian	fixed effect (inverse variance), z test	3	6355		-27.040293188488896	29.511427186583386	-84.88162760656854	30.80104122959075				-27.040293188488896	-84.88162760656854	30.80104122959075	-0.9162651815355806	0.35952782540472655	44.1489447807039	3.5809529330235748	2	0.1668806376860594	AMANHI-Sylhet, Bangladesh; AMANHI-Karachi, Pakistan; PreSSMat-Matlab, Bangladesh
