cohort	cohort_label	cohort_group	trait	pgs_development_ancestry	score_id	selected_instrument	N	beta_mmHg_per_SD	se	beta_lo95	beta_hi95	first_stage_F	p	incremental_R2	incremental_R2_boot_lo95	incremental_R2_boot_hi95	bootstrap_replicates	covariates
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	SBP	European	PGS004603	FALSE	2588	1.38527657460438	0.16856396109986	1.05474209787405	1.7158110513347	67.5372734920982	3.234561235496e-16	0.0252003289552688	0.0147129925857413	0.0379289129682078	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	SBP	South Asian	PGS004830	TRUE	2588	1.57016830761198	0.168791983245339	1.23918670576638	1.90114990945759	86.5343991544638	2.84036195565644e-20	0.0320585608095431	0.0205577676065856	0.0466571047700939	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	SBP	East Asian	PGS002376	FALSE	2588	0.123973472505895	0.170449027924162	-0.210257402744653	0.458204347756443	0.529015594415219	0.467087062680681	0.00020252237993584	8.56437605405879e-07	0.00286787880745564	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	SBP	Diverse ancestry	PGS003968	FALSE	2588	1.26246497605678	0.169127614823096	0.930825239416497	1.59410471269706	55.7198102525296	1.13649696536795e-13	0.0208841415955487	0.0111745065315621	0.032860026936803	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	SBP	European	PGS004603	FALSE	1998	1.91513911997447	0.206880588230751	1.50941372474113	2.32086451520781	85.6961222172672	5.25639350684556e-20	0.0399532470026173	0.024169257444766	0.0587173081094184	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	SBP	South Asian	PGS004830	TRUE	1998	1.95599927390002	0.209744277209252	1.54465773385307	2.36734081394696	86.9675305162228	2.838539568793e-20	0.0405211709454682	0.0246400123484248	0.0584890321784107	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	SBP	East Asian	PGS002376	FALSE	1998	0.0373575013721481	0.207554650461385	-0.369689835988654	0.44440483873295	0.0323959488759337	0.857179737613493	1.57541237776684e-05	8.9761930842049e-07	0.00330510664802218	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	SBP	Diverse ancestry	PGS003968	FALSE	1998	1.59515785602177	0.209983548863192	1.18334706660158	2.00696864544196	57.7081021052287	4.64997144458161e-14	0.0272725839853931	0.0150433000786629	0.0421792786811213	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	SBP	European	PGS004603	FALSE	3502	1.85429263082458	0.140764295201242	1.57830402187126	2.13028123977789	173.528784366201	1.03595072112123e-38	0.0469253644083362	0.0336151370267371	0.0620041082082282	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	SBP	South Asian	PGS004830	TRUE	3502	2.17466584727519	0.13903772008219	1.90206243671099	2.44726925783939	244.635676455759	2.38127850511623e-53	0.0648950842233715	0.0495871126960747	0.0806328114393261	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	SBP	East Asian	PGS002376	FALSE	3502	0.347897186723351	0.144506793421835	0.0645708727331459	0.631223500713555	5.79595900731701	0.0161146072115849	0.00164249326448023	7.59192240603665e-05	0.00500862936604022	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Bangladesh	PreSSMat-Matlab	South Asian	SBP	Diverse ancestry	PGS003968	FALSE	3502	1.85448139474062	0.14088687082672	1.57825245867652	2.13071033080472	173.262235893653	1.17705171922787e-38	0.0468566921214218	0.0336751752339947	0.0622298951362981	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	SBP	European	PGS004603	TRUE	3620	1.15202665143028	0.157555578859644	0.843119821278885	1.46093348158168	53.4635116770058	3.22832077944063e-13	0.0144470014155929	0.00713649745615589	0.0239086446404846	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	SBP	South Asian	PGS004830	FALSE	3620	1.14137751953534	0.155743966370935	0.836022575489153	1.44673246358153	53.7076521407807	2.85625297088588e-13	0.0145120063597454	0.00738474846547882	0.0237489525455258	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	SBP	East Asian	PGS002376	FALSE	3620	0.0734212621617129	0.156450712664696	-0.233319343750002	0.380161868073428	0.220236146999392	0.638888386368183	6.03902751815585e-05	1.01026905850142e-07	0.00148420902708619	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pemba	AMANHI-Pemba	African	SBP	Diverse ancestry	PGS003968	FALSE	3620	1.03138460602611	0.158026203934818	0.721555058309174	1.34121415374304	42.5973982916453	7.66221818039822e-11	0.0115449850123065	0.00533412948369824	0.0190730894872678	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	SBP	European	PGS004603	TRUE	1380	1.17311913139758	0.243852580914576	0.694754236885525	1.65148402590965	23.1435257763344	1.66976271382537e-06	0.0164360029534289	0.00581277944308128	0.0332433508786154	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	SBP	South Asian	PGS004830	FALSE	1380	1.00966295509498	0.244374985956047	0.530273260141527	1.48905265004843	17.0702288980045	3.82044188266392e-05	0.0121759664881033	0.00362169852296036	0.0262261034616344	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	SBP	East Asian	PGS002376	FALSE	1380	-0.183655873922473	0.244791362795202	-0.663862374103053	0.296550626258107	0.562882136117598	0.453230137249995	0.000406332022434706	1.60007479681096e-06	0.00482465060776679	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
GAPPS-Zambia	ZAPPS-Lusaka	African	SBP	Diverse ancestry	PGS003968	FALSE	1380	0.767005486534327	0.244370219289551	0.287625142336594	1.24638583073206	9.85145513863668	0.00173318030335949	0.00706367319205524	0.000883625186569527	0.0199843396920466	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	European	PGS004604	FALSE	2588	1.00965961583413	0.132542626713114	0.749758819250876	1.26956041241738	58.0281633999554	3.60409809021427e-14	0.0217319664975521	0.0115636591415898	0.035865260684132	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	South Asian	PGS004758	TRUE	2588	1.1187439608281	0.133060787836255	0.857827110074181	1.37966081158202	70.6905282166822	6.81694644331264e-17	0.0263475511219147	0.0160861051322095	0.0394834226867364	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	East Asian	PGS002362	FALSE	2588	0.250668927233887	0.134939099794207	-0.0139310765268009	0.515268930994575	3.45084448337765	0.0633334055026448	0.00131968954324121	1.1388132406636e-05	0.00583080818157571	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Bangladesh	AMANHI-Sylhet	South Asian	DBP	Diverse ancestry	PGS003964	FALSE	2588	0.961248337352148	0.132866652427022	0.700712163734001	1.22178451097029	52.340662697323	6.12523505406517e-13	0.0196443410647541	0.0101445023725299	0.031227639656365	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	European	PGS004604	FALSE	1998	1.381529668768	0.158201843381364	1.0712709539148	1.69178838362121	76.2600968800812	5.1676320950898e-18	0.0360889142538402	0.0222696021649352	0.0536116368767862	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
AMANHI-Pakistan	AMANHI-Karachi	South Asian	DBP	South Asian	PGS004758	TRUE	1998	1.39672312843822	0.157236856334204	1.08835690506743	1.70508935180901	78.9063482381068	1.4232727960835e-18	0.037293427205854	0.022784283801892	0.0573894002146108	1000	maternal age + genotyping technology + within-cohort joint PC1-PC5
