Cohort	Trait	Score family	PGS ID	N	Incremental R², %	Bootstrap 95% CI	Beta, mmHg per SD	Beta 95% CI	F	P value
AMANHI-Sylhet	SBP	European	PGS004603	2,588	2.52	1.47–3.79	1.39	1.05 to 1.72	67.5	3.2 × 10^-16
AMANHI-Sylhet	SBP	South Asian	PGS004830	2,588	3.21	2.06–4.67	1.57	1.24 to 1.90	86.5	2.8 × 10^-20
AMANHI-Sylhet	SBP	East Asian	PGS002376	2,588	0.02	0.00–0.29	0.12	−0.21 to 0.46	0.5	0.47
AMANHI-Sylhet	SBP	Diverse ancestry	PGS003968	2,588	2.09	1.12–3.29	1.26	0.93 to 1.59	55.7	1.1 × 10^-13
AMANHI-Karachi	SBP	European	PGS004603	1,998	4.00	2.42–5.87	1.92	1.51 to 2.32	85.7	5.3 × 10^-20
AMANHI-Karachi	SBP	South Asian	PGS004830	1,998	4.05	2.46–5.85	1.96	1.54 to 2.37	87.0	2.8 × 10^-20
AMANHI-Karachi	SBP	East Asian	PGS002376	1,998	0.00	0.00–0.33	0.04	−0.37 to 0.44	0.0	0.86
AMANHI-Karachi	SBP	Diverse ancestry	PGS003968	1,998	2.73	1.50–4.22	1.60	1.18 to 2.01	57.7	4.6 × 10^-14
PreSSMat-Matlab	SBP	European	PGS004603	3,502	4.69	3.36–6.20	1.85	1.58 to 2.13	173.5	1.0 × 10^-38
PreSSMat-Matlab	SBP	South Asian	PGS004830	3,502	6.49	4.96–8.06	2.17	1.90 to 2.45	244.6	2.4 × 10^-53
PreSSMat-Matlab	SBP	East Asian	PGS002376	3,502	0.16	0.01–0.50	0.35	0.06 to 0.63	5.8	0.016
PreSSMat-Matlab	SBP	Diverse ancestry	PGS003968	3,502	4.69	3.37–6.22	1.85	1.58 to 2.13	173.3	1.2 × 10^-38
AMANHI-Pemba	SBP	European	PGS004603	3,620	1.44	0.71–2.39	1.15	0.84 to 1.46	53.5	3.2 × 10^-13
AMANHI-Pemba	SBP	South Asian	PGS004830	3,620	1.45	0.74–2.37	1.14	0.84 to 1.45	53.7	2.9 × 10^-13
AMANHI-Pemba	SBP	East Asian	PGS002376	3,620	0.01	0.00–0.15	0.07	−0.23 to 0.38	0.2	0.64
AMANHI-Pemba	SBP	Diverse ancestry	PGS003968	3,620	1.15	0.53–1.91	1.03	0.72 to 1.34	42.6	7.7 × 10^-11
ZAPPS-Lusaka	SBP	European	PGS004603	1,380	1.64	0.58–3.32	1.17	0.69 to 1.65	23.1	1.7 × 10^-6
ZAPPS-Lusaka	SBP	South Asian	PGS004830	1,380	1.22	0.36–2.62	1.01	0.53 to 1.49	17.1	3.8 × 10^-5
ZAPPS-Lusaka	SBP	East Asian	PGS002376	1,380	0.04	0.00–0.48	−0.18	−0.66 to 0.30	0.6	0.45
ZAPPS-Lusaka	SBP	Diverse ancestry	PGS003968	1,380	0.71	0.09–2.00	0.77	0.29 to 1.25	9.9	0.0017
AMANHI-Sylhet	DBP	European	PGS004604	2,588	2.17	1.16–3.59	1.01	0.75 to 1.27	58.0	3.6 × 10^-14
AMANHI-Sylhet	DBP	South Asian	PGS004758	2,588	2.63	1.61–3.95	1.12	0.86 to 1.38	70.7	6.8 × 10^-17
AMANHI-Sylhet	DBP	East Asian	PGS002362	2,588	0.13	0.00–0.58	0.25	−0.01 to 0.52	3.5	0.063
AMANHI-Sylhet	DBP	Diverse ancestry	PGS003964	2,588	1.96	1.01–3.12	0.96	0.70 to 1.22	52.3	6.1 × 10^-13
AMANHI-Karachi	DBP	European	PGS004604	1,998	3.61	2.23–5.36	1.38	1.07 to 1.69	76.3	5.2 × 10^-18
AMANHI-Karachi	DBP	South Asian	PGS004758	1,998	3.73	2.28–5.74	1.40	1.09 to 1.71	78.9	1.4 × 10^-18
AMANHI-Karachi	DBP	East Asian	PGS002362	1,998	0.08	0.00–0.53	0.20	−0.10 to 0.51	1.7	0.19
AMANHI-Karachi	DBP	Diverse ancestry	PGS003964	1,998	2.37	1.27–3.84	1.14	0.82 to 1.45	49.4	2.9 × 10^-12
PreSSMat-Matlab	DBP	European	PGS004604	3,502	4.99	3.69–6.48	1.43	1.23 to 1.63	191.4	2.1 × 10^-42
PreSSMat-Matlab	DBP	South Asian	PGS004758	3,502	5.48	4.15–6.89	1.50	1.29 to 1.70	211.4	1.5 × 10^-46
PreSSMat-Matlab	DBP	East Asian	PGS002362	3,502	0.07	0.00–0.36	0.17	−0.03 to 0.38	2.7	0.10
