Blood pressure	Outcome	Population group	Cohorts	N	Events	Pooled estimate (95% CI)	P value	I²	Q P value
Systolic	Preterm birth	South Asian	3	7,840	948	0.89 (0.39 to 2.05)	0.787	77.1%	0.007
Systolic	Preterm birth	African	2	4,757	263	2.40 (0.77 to 7.49)	0.133	0.0%	0.977
Systolic	Preterm birth	Overall (all cohorts)	5	12,597	1,211	1.13 (0.57 to 2.22)	0.728	63.3%	0.021
Systolic	Low birth weight	South Asian	3	6,355	1,483	1.07 (0.73 to 1.56)	0.729	26.2%	0.277
Systolic	Low birth weight	African	2	4,611	283	1.78 (0.61 to 5.14)	0.290	0.0%	0.360
Systolic	Low birth weight	Overall (all cohorts)	5	10,966	1,766	1.13 (0.80 to 1.59)	0.484	12.1%	0.387
Systolic	Small for gestational age	South Asian	3	6,353	2,350	0.96 (0.69 to 1.34)	0.807	27.4%	0.281
Systolic	Small for gestational age	African	2	4,570	569	0.70 (0.32 to 1.53)	0.369	0.0%	0.588
Systolic	Small for gestational age	Overall (all cohorts)	5	10,923	2,919	0.92 (0.68 to 1.24)	0.591	15.4%	0.481
Systolic	Birth weight	South Asian	3	6,355	—	−17 (−98 to 64)	0.684	44.9%	0.169
Systolic	Birth weight	African	2	4,611	—	−28 (−231 to 174)	0.784	54.0%	0.141
Systolic	Birth weight	Overall (all cohorts)	5	10,966	—	−25 (−93 to 43)	0.473	32.3%	0.207
Diastolic	Preterm birth	South Asian	3	7,840	948	0.92 (0.34 to 2.51)	0.868	69.3%	0.030
Diastolic	Preterm birth	African	2	4,757	263	1.56 (0.32 to 7.66)	0.587	0.0%	0.353
Diastolic	Preterm birth	Overall (all cohorts)	5	12,597	1,211	1.04 (0.47 to 2.32)	0.923	49.1%	0.088
Diastolic	Low birth weight	South Asian	3	6,355	1,483	1.10 (0.71 to 1.72)	0.667	0.0%	0.851
Diastolic	Low birth weight	African	2	4,611	283	3.65 (0.32 to 41.53)	0.296	49.6%	0.159
Diastolic	Low birth weight	Overall (all cohorts)	5	10,966	1,766	1.18 (0.77 to 1.80)	0.444	0.0%	0.491
Diastolic	Small for gestational age	South Asian	3	6,353	2,350	1.06 (0.72 to 1.55)	0.768	0.0%	0.457
Diastolic	Small for gestational age	African	2	4,570	569	0.75 (0.25 to 2.27)	0.612	0.0%	0.947
Diastolic	Small for gestational age	Overall (all cohorts)	5	10,923	2,919	1.02 (0.71 to 1.47)	0.910	0.0%	0.754
Diastolic	Birth weight	South Asian	3	6,355	—	−45 (−137 to 48)	0.343	21.1%	0.318
Diastolic	Birth weight	African	2	4,611	—	−122 (−758 to 515)	0.708	88.6%	0.003
Diastolic	Birth weight	Overall (all cohorts)	5	10,966	—	−46 (−191 to 99)	0.531	67.7%	0.026
