trait	score_family	pgs_catalog_id	development_ancestry	publication	method	source_sample_size	source_sample_type	published_variants	role	variant_recovery_gsa_pct	variant_recovery_lpwgs_pct	pgs_catalog_url	metadata_retrieved
SBP	European	PGS004603	European 100% (BioVU, ICBP, MVP, UKB)	Keaton JM et al, Nat Genet, 2024	SBayesRC	1,028,980	Discovery	7,356,519	Primary	62.8–74.3	67.6–80.7	https://www.pgscatalog.org/score/PGS004603/	18 July 2026
DBP	European	PGS004604	European 100% (BioVU, ICBP, MVP, UKB)	Keaton JM et al, Nat Genet, 2024	SBayesRC	1,028,980	Discovery	7,356,519	Primary	62.8–74.3	67.6–80.7	https://www.pgscatalog.org/score/PGS004604/	18 July 2026
SBP	South Asian	PGS004830	South Asian 100% (Genes & Health)	Truong B et al, Cell Genom, 2024	PRSmix	28,752	Training	4,805,129	Primary	62.9–76.3	67.2–80.3	https://www.pgscatalog.org/score/PGS004830/	18 July 2026
DBP	South Asian	PGS004758	South Asian 100% (Genes & Health)	Truong B et al, Cell Genom, 2024	PRSmixPlus	28,743	Training	4,139,034	Primary	74.7–83.5	78.6–87.5	https://www.pgscatalog.org/score/PGS004758/	18 July 2026
SBP	East Asian	PGS002376	East Asian 100% (BioBank Japan)	Weissbrod O et al, Nat Genet, 2022	BOLT-LMM-BBJ	124,000	Discovery	920,928	Primary	79.3–84.2	85.1–89.8	https://www.pgscatalog.org/score/PGS002376/	18 July 2026
DBP	East Asian	PGS002362	East Asian 100% (BioBank Japan)	Weissbrod O et al, Nat Genet, 2022	BOLT-LMM-BBJ	124,000	Discovery	920,925	Primary	79.3–84.2	85.1–89.8	https://www.pgscatalog.org/score/PGS002362/	18 July 2026
SBP	Diverse ancestry	PGS003968	EUR 79/EAS 11/AFR 7.6/HIS 1.8%	Kurniansyah N et al, Nat Commun, 2023	PRSice-2 + LDpred2-auto + PRS-CSx (PRSsum)	1,244,244	Discovery	1,267,240	Primary	73.3–77.2	80.1–87.9	https://www.pgscatalog.org/score/PGS003968/	18 July 2026
DBP	Diverse ancestry	PGS003964	EUR 79/EAS 11/AFR 7.6/HIS 1.8%	Kurniansyah N et al, Nat Commun, 2023	PRSice-2 + LDpred2-auto + PRS-CSx (PRSsum)	1,244,262	Discovery	1,267,600	Primary	73.3–77.2	80.1–87.9	https://www.pgscatalog.org/score/PGS003964/	18 July 2026
SBP	MVP	PGS002238	discovery EUR 58.3/EAS 21.8/AFR 15.1/HIS 3.6%; training European 100% (UKB)	Breeyear JH et al, Circ Genom Precis Med, 2022	PRS-CS	627,529 / 341,930	Discovery / training	1,119,444	Primary	76.0–81.2	82.9–88.9	https://www.pgscatalog.org/score/PGS002238/	18 July 2026
DBP	MVP	PGS002239	discovery EUR 58.3/EAS 21.8/AFR 15.1/HIS 3.6%; training European 100% (UKB)	Breeyear JH et al, Circ Genom Precis Med, 2022	PRS-CS	627,547 / 341,930	Discovery / training	1,119,054	Primary	76.1–81.2	83.0–88.9	https://www.pgscatalog.org/score/PGS002239/	18 July 2026
SBP	African ancestry	PGS005008	African 100% (MVP)	Gunn S et al, HGG Adv, 2025	LDpred	119,154	Discovery	1,286,612	Supplementary portability	72.0–76.6	78.9–87.7	https://www.pgscatalog.org/score/PGS005008/	18 July 2026
