exposure	outcome	estimate	ci_lo	ci_hi	units	method	direction	source	doi	url	retrieved	notes
SBP	PTB	1.1158	1.0603	1.1743	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 497 SNPs, Keaton2024 instrument; p=2.59e-05. From Additional File 3 Suppl Table 6 (ST6). Main-text rounding was 1.12 (1.06-1.17).
DBP	PTB	1.1390	1.0445	1.2421	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 452 SNPs, Keaton2024 instrument; p=3.23e-03. From ST6.
SBP	LBW	1.3305	1.2586	1.4065	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 507 SNPs, Keaton2024 instrument; p=7.03e-24. From ST6. Largest binary effect in the panel.
DBP	LBW	1.4555	1.3220	1.6024	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 470 SNPs, Keaton2024 instrument; p=2.01e-14. From ST6. NB DBP effect on LBW is LARGER than SBP, contrary to the general "DBP similar but less precise" statement.
SBP	SGA	1.1647	1.0696	1.2683	OR per 10 mmHg	IVW two-sample MR	higher BP increases risk	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 457 SNPs, Keaton2024 instrument; p=4.51e-04. From ST6.
DBP	SGA	1.1129	0.9686	1.2786	OR per 10 mmHg	IVW two-sample MR	null (CI crosses 1)	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 415 SNPs, Keaton2024 instrument; p=1.31e-01. From ST6. The one primary growth outcome where DBP does NOT reach significance even in a well-powered two-sample design.
SBP	BWT	-0.1257	-0.1472	-0.1042	SD per 10 mmHg	IVW two-sample MR	higher BP lowers birthweight	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 503 SNPs, Keaton2024 instrument; p=1.94e-30. From ST6. UNITS ARE SD OF BIRTHWEIGHT, not grams - the paper never uses grams. B21 converts our grams estimate to SD (SD=528 g in our live-birth sample) for the like-for-like comparison. Their SD is European, ours South Asian/African: comparable scale, not identical unit.
DBP	BWT	-0.1370	-0.1721	-0.1019	SD per 10 mmHg	IVW two-sample MR	higher BP lowers birthweight	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 466 SNPs, Keaton2024 instrument; p=2.00e-14. From ST6. Same SD-units caveat as SBP/BWT.
SBP	GAd	-0.0936	-0.1240	-0.0632	SD per 10 mmHg	IVW two-sample MR	higher BP shortens gestation	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 511 SNPs, Keaton2024 instrument; p=1.63e-09. From ST6. Comparator for our continuous gestational-age outcome if we report it.
DBP	GAd	-0.1266	-0.1778	-0.0753	SD per 10 mmHg	IVW two-sample MR	higher BP shortens gestation	Morales-Berstein F et al., BMC Medicine 2026;24:2	10.1186/s12916-025-04548-3	https://link.springer.com/article/10.1186/s12916-025-04548-3	2026-07-20	IVW, 463 SNPs, Keaton2024 instrument; p=1.31e-06. From ST6.
